county_name,fips,land_area_square_miles_2010,primary_ruca_code_2010,secondary_ruca_code_2010,tract_population_2010,tract_population_2018,population_estimate_2010,population_estimate_2011,population_estimate_2012,population_estimate_2013,population_estimate_2014,population_estimate_2015,population_estimate_2016,population_estimate_2018,pct_black_pop_2010,pct_black_pop_2018,pct_white_pop_2010,pct_white_pop_2018,groc09,groc14,superc09,superc14,convs09,convs14,specs09,specs14,poverty_rate,median_family_income,pct_hhold_no_veh,pct_hhold_1_veh,pct_hhold_2plus_veh,food_desert_2010,food_desert_2017
Alamance,37001022001,11.35302094,2,2,3319,4044,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,11,54770,0.021943574,0.265203762,0.712852665,NA,0
Alamance,37001022002,21.24151888,2,2,4276,4216,151131,152847,153659,154622,156036,157857,159688,160576,0.187711323,0.191448286,0.710774097,0.702383918,23,30,4,4,85,80,6,7,14.6,64038,0.046153846,0.262108262,0.691737892,NA,0
Alexander,37003040100,60.02795071,3,3,3476,3091,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,14.4,50030,0.030228758,0.159313725,0.810457516,NA,0
Alexander,37003040200,65.88783346,2,2,3994,3952,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,7.9,55417,0.017699115,0.183944374,0.798356511,NA,0
Alexander,37003040300,28.189653,2,2,3202,3049,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,10.1,48880,0.029059829,0.305982906,0.664957265,NA,0
Alexander,37003040400,19.92518768,2,2,6552,6691,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,23.6,46330,0.090286175,0.313583233,0.596130593,NA,1
Alexander,37003040500,42.90513624,2,2,6982,7579,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,21.9,47944,0.032111825,0.279183982,0.688704193,NA,0
Alexander,37003040600,27.53771523,2,2,6347,6142,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,18.4,54578,0.014,0.2315,0.7545,NA,0
Alexander,37003040700,15.52057037,1,1,6645,6615,37198,37108,36964,36999,37360,37304,37428,37119,0.054922308,0.056709502,0.895854616,0.879334034,4,4,1,1,12,14,0,1,12.8,61992,0.0236822,0.274637128,0.701680672,NA,0
Alleghany,37005950100,92.17886222,10,10,4079,3961,11155,11024,10923,10896,10863,10812,10848,10973,0.012550426,0.02424132,0.922277006,0.942859747,4,3,0,0,8,8,2,1,17.9,44048,0.020126509,0.243243243,0.736630247,NA,0
